severity,method,nx,cell_index,z_left_cm,z_center_cm,z_right_cm,r_left_cm,r_center_cm,r_right_cm,dx_cm
50,fv-muscl-minmod,400,266,3.975,3.9825,3.99,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,267,3.99,3.9975,4.005,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,268,4.005,4.0125,4.02,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,269,4.02,4.0275,4.035,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,270,4.035,4.0425,4.05,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,271,4.05,4.0575,4.065,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,272,4.065,4.0725,4.08,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,273,4.08,4.0875,4.095,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,274,4.095,4.1025,4.11,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,275,4.11,4.1175,4.125,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,276,4.125,4.1325,4.14,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,277,4.14,4.1475,4.155,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,278,4.155,4.1625,4.17,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,279,4.17,4.1775,4.185,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,280,4.185,4.1925,4.2,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,281,4.2,4.2075,4.215,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,282,4.215,4.2225,4.23,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,283,4.23,4.2375,4.245,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,284,4.245,4.2525,4.26,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,285,4.26,4.2675,4.275,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,286,4.275,4.2825,4.29,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,287,4.29,4.2975,4.305,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,288,4.305,4.3125,4.32,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,289,4.32,4.3275,4.335,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,290,4.335,4.3425,4.35,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,291,4.35,4.3575,4.365,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,292,4.365,4.3725,4.38,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,293,4.38,4.3875,4.395,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,294,4.395,4.4025,4.41,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,295,4.41,4.4175,4.425,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,296,4.425,4.4325,4.44,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,297,4.44,4.4475,4.455,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,298,4.455,4.4625,4.47,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,299,4.47,4.4775,4.485,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,300,4.485,4.4925,4.5,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,301,4.5,4.5075,4.515,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,302,4.515,4.5225,4.53,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,303,4.53,4.5375,4.545,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,304,4.545,4.5525,4.56,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,305,4.56,4.5675,4.575,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,306,4.575,4.5825,4.59,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,307,4.59,4.5975,4.605,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,308,4.605,4.6125,4.62,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,309,4.62,4.6275,4.635,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,310,4.635,4.6425,4.65,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,311,4.65,4.6575,4.665,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,312,4.665,4.6725,4.68,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,313,4.68,4.6875,4.695,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,314,4.695,4.7025,4.71,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,315,4.71,4.7175,4.725,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,316,4.725,4.7325,4.74,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,317,4.74,4.7475,4.755,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,318,4.755,4.7625,4.77,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,319,4.77,4.7775,4.785,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,320,4.785,4.7925,4.8,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,321,4.8,4.8075,4.815,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,322,4.815,4.8225,4.83,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,323,4.83,4.8375,4.845,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,324,4.845,4.8525,4.86,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,325,4.86,4.8675,4.875,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,326,4.875,4.8825,4.89,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,327,4.89,4.8975,4.905,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,328,4.905,4.9125,4.92,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,329,4.92,4.9275,4.935,0.18,0.18,0.18,0.015
