severity,slice_label,z_cm,theta_rad,x_cm,y_cm,r_cm
50,throat,2.451,5.32325421858,0.0516218792716,-0.073723683986,0.09
50,throat,2.451,5.41052068118,0.0578508848718,-0.0689439998807,0.09
50,throat,2.451,5.49778714378,0.0636396103068,-0.0636396103068,0.09
50,throat,2.451,5.58505360638,0.0689439998807,-0.0578508848718,0.09
50,throat,2.451,5.67232006898,0.073723683986,-0.0516218792716,0.09
50,throat,2.451,5.75958653158,0.0779422863406,-0.045,0.09
50,throat,2.451,5.84685299418,0.0815677008333,-0.0380356435567,0.09
50,throat,2.451,5.93411945678,0.0845723358707,-0.0307818128993,0.09
50,throat,2.451,6.02138591938,0.086933324366,-0.0232937140592,0.09
50,throat,2.451,6.10865238198,0.0886326977711,-0.01562833599,0.09
50,throat,2.451,6.19591884458,0.0896575228283,-0.00784401684729,0.09
50,downstream,2.951,0,0.157828355915,0,0.157828355915
50,downstream,2.951,0.0872664625997,0.157227771371,0.0137556475864,0.157828355915
50,downstream,2.951,0.174532925199,0.155430588551,0.0274066063889,0.157828355915
50,downstream,2.951,0.261799387799,0.152450485099,0.0408489843681,0.157828355915
50,downstream,2.951,0.349065850399,0.148310141404,0.053980476911,0.157828355915
50,downstream,2.951,0.436332312999,0.143041067981,0.0667011454303,0.157828355915
50,downstream,2.951,0.523598775598,0.13668336566,0.0789141779577,0.157828355915
50,downstream,2.951,0.610865238198,0.129285420395,0.0905266259411,0.157828355915
50,downstream,2.951,0.698131700798,0.120903535016,0.10145011164,0.157828355915
50,downstream,2.951,0.785398163397,0.111601500731,0.111601500731,0.157828355915
50,downstream,2.951,0.872664625997,0.10145011164,0.120903535016,0.157828355915
50,downstream,2.951,0.959931088597,0.0905266259411,0.129285420395,0.157828355915
50,downstream,2.951,1.0471975512,0.0789141779577,0.13668336566,0.157828355915
50,downstream,2.951,1.1344640138,0.0667011454303,0.143041067981,0.157828355915
50,downstream,2.951,1.2217304764,0.053980476911,0.148310141404,0.157828355915
50,downstream,2.951,1.308996939,0.0408489843681,0.152450485099,0.157828355915
50,downstream,2.951,1.3962634016,0.0274066063889,0.155430588551,0.157828355915
50,downstream,2.951,1.4835298642,0.0137556475864,0.157227771371,0.157828355915
50,downstream,2.951,1.57079632679,9.66419954432e-18,0.157828355915,0.157828355915
50,downstream,2.951,1.65806278939,-0.0137556475864,0.157227771371,0.157828355915
50,downstream,2.951,1.74532925199,-0.0274066063889,0.155430588551,0.157828355915
50,downstream,2.951,1.83259571459,-0.0408489843681,0.152450485099,0.157828355915
50,downstream,2.951,1.91986217719,-0.053980476911,0.148310141404,0.157828355915
50,downstream,2.951,2.00712863979,-0.0667011454303,0.143041067981,0.157828355915
50,downstream,2.951,2.09439510239,-0.0789141779577,0.13668336566,0.157828355915
50,downstream,2.951,2.18166156499,-0.0905266259411,0.129285420395,0.157828355915
50,downstream,2.951,2.26892802759,-0.10145011164,0.120903535016,0.157828355915
50,downstream,2.951,2.35619449019,-0.111601500731,0.111601500731,0.157828355915
50,downstream,2.951,2.44346095279,-0.120903535016,0.10145011164,0.157828355915
50,downstream,2.951,2.53072741539,-0.129285420395,0.0905266259411,0.157828355915
50,downstream,2.951,2.61799387799,-0.13668336566,0.0789141779577,0.157828355915
50,downstream,2.951,2.70526034059,-0.143041067981,0.0667011454303,0.157828355915
50,downstream,2.951,2.79252680319,-0.148310141404,0.053980476911,0.157828355915
50,downstream,2.951,2.87979326579,-0.152450485099,0.0408489843681,0.157828355915
50,downstream,2.951,2.96705972839,-0.155430588551,0.0274066063889,0.157828355915
50,downstream,2.951,3.05432619099,-0.157227771371,0.0137556475864,0.157828355915
50,downstream,2.951,3.14159265359,-0.157828355915,1.93283990886e-17,0.157828355915
50,downstream,2.951,3.22885911619,-0.157227771371,-0.0137556475864,0.157828355915
50,downstream,2.951,3.31612557879,-0.155430588551,-0.0274066063889,0.157828355915
50,downstream,2.951,3.40339204139,-0.152450485099,-0.0408489843681,0.157828355915
50,downstream,2.951,3.49065850399,-0.148310141404,-0.053980476911,0.157828355915
50,downstream,2.951,3.57792496659,-0.143041067981,-0.0667011454303,0.157828355915
