severity,particle_id,seed_label,sample_index,z_cm,x_cm,y_cm,r_cm,r_over_r0,t_s,ux_cm_s,uy_cm_s,uz_cm_s
73,2,theta0,60,1.50041666667,0.034020528616,-2.47333418704e-07,0.0340205286169,0.18900293676,1.51456932637,-1.47270298534e-06,-1.84762840713e-07,0.957646827372
73,2,theta0,61,1.525,0.0340205215104,-2.53705960037e-07,0.0340205215113,0.189002897285,1.54023989922,9.75025219038e-07,-3.80408564258e-07,0.957645316597
73,2,theta0,62,1.54958333333,0.0340205956685,-2.68308663656e-07,0.0340205956696,0.189003309275,1.56591055281,5.17291065364e-06,-7.79631989651e-07,0.957641282253
73,2,theta0,63,1.57416666667,0.0340208061061,-2.94880647408e-07,0.0340208061074,0.189004478374,1.5915813397,1.15924574043e-05,-1.31292448168e-06,0.957635351597
73,2,theta0,64,1.59875,0.0340211866797,-3.34689477101e-07,0.0340211866813,0.189006592674,1.61725231387,1.48165246636e-05,-1.47208167606e-06,0.957627107826
73,2,theta0,65,1.62333333333,0.0340213624958,-3.32791689329e-07,0.0340213624974,0.18900756943,1.64292340886,-7.3649463578e-07,2.10581463702e-06,0.957629061085
73,2,theta0,66,1.64791666667,0.0340211183255,-2.22782634633e-07,0.0340211183262,0.189006212923,1.66859447014,-1.90209968561e-05,6.47975984104e-06,0.957625479148
73,2,theta0,67,1.6725,0.0340203481954,6.58505747474e-10,0.0340203481954,0.189001934419,1.694265783,-4.17128316083e-05,1.09428934529e-05,0.957610331257
73,2,theta0,68,1.69708333333,0.0340191581575,3.12857619053e-07,0.0340191581589,0.188995323105,1.71993766547,-1.75747692808e-05,9.19259078056e-06,0.957580902548
73,2,theta0,69,1.72166666667,0.0340193175946,3.18084976294e-07,0.0340193175961,0.188996208867,1.7456107558,2.14507386109e-05,-9.18918925652e-06,0.957539589231
73,2,theta0,70,1.74625,0.0340199491034,-1.49567816229e-07,0.0340199491037,0.188999717243,1.77128340471,2.20565539103e-05,-2.69764768669e-05,0.957620618531
73,2,theta0,71,1.77083333333,0.0340201579659,-1.05322355497e-06,0.0340201579822,0.189000877679,1.79695209132,-1.14724167853e-05,-4.31677046888e-05,0.957835529173
73,2,theta0,72,1.79541666667,0.034018504494,-2.1589001254e-06,0.0340185045625,0.188991692014,1.82261249031,-0.000194398749845,-2.61832125189e-05,0.958299707695
73,2,theta0,73,1.82,0.0340052470194,-1.56974704679e-06,0.0340052470556,0.188918039209,1.8482554107,-0.000909806210832,6.91936741676e-05,0.959159589534
73,2,theta0,74,1.84458333333,0.0339683066149,1.23202529525e-06,0.0339683066372,0.188712815179,1.87386717181,-0.00204492542917,0.000146560115073,0.960636663493
73,2,theta0,75,1.86916666667,0.0338970784027,5.7698713911e-06,0.0338970788938,0.188317120277,1.89943110866,-0.00359755106411,0.000205337056478,0.962755390121
73,2,theta0,76,1.89375,0.0337909634905,1.01308713199e-05,0.0337909650091,0.187727857865,1.92492044663,-0.00514070763752,9.76425693589e-05,0.96670793409
73,2,theta0,77,1.91833333333,0.0336099281519,1.03045197275e-05,0.0336099297316,0.186725029028,1.95023175705,-0.00953065850951,-7.96246975634e-05,0.9774603328
73,2,theta0,78,1.94291666667,0.0332962189495,6.4216169737e-06,0.0332962195687,0.185004352775,1.97513869014,-0.0160248834833,-0.000227515104632,0.99833364881
73,2,theta0,79,1.9675,0.032808810089,-5.60356943649e-07,0.0328088100938,0.182414231353,1.99940681129,-0.0245074274444,-0.000342788343525,1.02954629557
73,2,theta0,80,1.99208333333,0.0320660035433,-5.61568964432e-06,0.032066004035,0.178742354472,2.02279988671,-0.0403673223753,9.58197490127e-05,1.07505832045
73,2,theta0,81,2.01666666667,0.0309541403086,2.94845065866e-06,0.030954140449,0.17388845019,2.04495028498,-0.0608199024568,0.000642425713358,1.15162527843
73,2,theta0,82,2.04125,0.0294816986425,1.92793887089e-05,0.0294817049463,0.168723901697,2.06535984072,-0.0842849287887,0.000912125235022,1.26544858512
73,2,theta0,83,2.06583333333,0.0276962734445,3.56566817963e-05,0.027696296397,0.164415287038,2.08376751969,-0.111286686191,0.000690338586433,1.40891689917
73,2,theta0,84,2.09041666667,0.0255802008345,3.39765378888e-05,0.0255802233989,0.161456708008,2.10024041636,-0.146212070385,-0.000803232502031,1.60760425906
73,2,theta0,85,2.115,0.0233191269567,1.7057134393e-05,0.023319133195,0.161050889378,2.1141364288,-0.180296408296,-0.00152732492508,1.96998127367
73,2,theta0,86,2.13958333333,0.0211291526132,-5.3907415161e-07,0.0211291526201,0.164296373674,2.12526754758,-0.214740717144,-0.00151728015482,2.49447911987
73,2,theta0,87,2.16416666667,0.019073774226,-1.26110631179e-05,0.0190737783951,0.171004422128,2.13405422974,-0.263039072962,-0.00163060598882,3.09012953028
