severity,nx,requested_time_s,elapsed_time_s,z_cm,a_cm2,q_cm3_s,u_cm_s
23.0,100,0.01,0.00999999999999976,0.27,0.03229961700666529,-0.047092477029767814,-1.4579887129946432
23.0,100,0.01,0.00999999999999976,0.32999999999999996,0.03230849697084874,-0.05053758165824601,-1.5642195210704162
23.0,100,0.01,0.00999999999999976,0.39,0.03231927883893308,-0.050889667539728574,-1.5745916792680679
23.0,100,0.01,0.00999999999999976,0.44999999999999996,0.03232916307760366,-0.0479028051512517,-1.481721164147204
23.0,100,0.01,0.00999999999999976,0.51,0.0323400536586451,-0.04263826505135863,-1.318435198080156
23.0,100,0.01,0.00999999999999976,0.57,0.03235145367254441,-0.034464060477439024,-1.0653017581923223
23.0,100,0.01,0.00999999999999976,0.63,0.032363929782358296,-0.024051340433893148,-0.743152657777784
23.0,100,0.01,0.00999999999999976,0.69,0.032377173682629296,-0.011472872794157074,-0.354350657862159
23.0,100,0.01,0.00999999999999976,0.75,0.03238942771115455,0.0007788405737201102,0.024046135691736425
23.0,100,0.01,0.00999999999999976,0.8099999999999999,0.03239840378623026,0.010374440890783564,0.3202145685705922
23.0,100,0.01,0.00999999999999976,0.87,0.032404976557336505,0.017944690866318728,0.5537634268788273
23.0,100,0.01,0.00999999999999976,0.9299999999999999,0.03240932620488102,0.023471728735576774,0.7242276061895359
23.0,100,0.01,0.00999999999999976,0.99,0.0324113730328044,0.026735468783752464,0.8248792408977181
23.0,100,0.01,0.00999999999999976,1.05,0.03241184005086637,0.02833042941686102,0.8740765526548298
23.0,100,0.01,0.00999999999999976,1.1099999999999999,0.03241151618623426,0.029157045261606066,0.8995890563734126
23.0,100,0.01,0.00999999999999976,1.17,0.032410410171618005,0.029069672359429467,0.8969239267723293
23.0,100,0.01,0.00999999999999976,1.23,0.03240871218860155,0.02817825296935665,0.8694653710821378
23.0,100,0.01,0.00999999999999976,1.29,0.0324064354260713,0.026335872522595977,0.8126741548812402
23.0,100,0.01,0.00999999999999976,1.3499999999999999,0.03240355547235643,0.023698702436870136,0.7313611760008116
23.0,100,0.01,0.00999999999999976,1.41,0.03240026201946941,0.020339357329034576,0.6277528656037595
23.0,100,0.01,0.00999999999999976,1.47,0.03239663798451832,0.01639627527047204,0.5061103957240093
23.0,100,0.01,0.00999999999999976,1.53,0.03239366651613042,0.012950780988217043,0.39979361341415937
23.0,100,0.01,0.00999999999999976,1.5899999999999999,0.032391541530131324,0.010190768282165837,0.3146120190879511
23.0,100,0.01,0.00999999999999976,1.65,0.03239025119128572,0.00814682709346206,0.25152096059242307
23.0,100,0.01,0.00999999999999976,1.71,0.032389818197756305,0.006888315511656608,0.21266916256213417
23.0,100,0.01,0.00999999999999976,1.77,0.032389782724892506,0.006049190171032834,0.1867622954563339
23.0,100,0.01,0.00999999999999976,1.8299999999999998,0.032389902595227976,0.005491214417148043,0.16953476167467904
23.0,100,0.01,0.00999999999999976,1.89,0.032390489323495746,0.005510201609803586,0.17011788722211552
23.0,100,0.01,0.00999999999999976,1.95,0.03238431392107114,-0.0021339867468251395,-0.0658956911060772
23.0,100,0.01,0.00999999999999976,2.01,0.032203055769623824,-0.1448744578418454,-4.49877983251829
23.0,100,0.01,0.00999999999999976,2.07,0.030727402536526324,-0.44929038601343807,-14.621814697137415
23.0,100,0.01,0.00999999999999976,2.13,0.02745437458600534,-0.45790589766851236,-16.678795440560734
23.0,100,0.01,0.00999999999999976,2.19,0.02353861560259729,-0.4004504298425087,-17.012488610346413
23.0,100,0.01,0.00999999999999976,2.25,0.020792205702433553,-0.28278764376027477,-13.600656313590473
23.0,100,0.01,0.00999999999999976,2.31,0.019569701076468042,-0.12552566396898446,-6.414286221260945
23.0,100,0.01,0.00999999999999976,2.37,0.019252123460062377,-0.02003799913461729,-1.040820207505171
23.0,100,0.01,0.00999999999999976,2.4299999999999997,0.019213251367856676,0.009640400481566927,0.5017578907906808
23.0,100,0.01,0.00999999999999976,2.4899999999999998,0.019216829275537323,0.013166677295659067,0.6851638793721297
23.0,100,0.01,0.00999999999999976,2.55,0.019268604107228172,0.044681469222648484,2.3188742149664727
23.0,100,0.01,0.00999999999999976,2.61,0.019549220747446285,0.08575580313506204,4.386660943826333
23.0,100,0.01,0.00999999999999976,2.67,0.02025812263742387,0.12462034817515262,6.151623741527512
23.0,100,0.01,0.00999999999999976,2.73,0.02151661207689313,0.1446050026903737,6.720621358678778
23.0,100,0.01,0.00999999999999976,2.79,0.023310328189821105,0.11891210130208706,5.101262424696889
23.0,100,0.01,0.00999999999999976,2.85,0.02540536262598588,0.06185585655931483,2.4347559005532777
23.0,100,0.01,0.00999999999999976,2.9099999999999997,0.027505334661741456,0.11350868082794123,4.126787847661644
23.0,100,0.01,0.00999999999999976,2.9699999999999998,0.02931986597906126,0.13485157825794847,4.599324511041508
23.0,100,0.01,0.00999999999999976,3.03,0.030658417816236325,0.11689526864265525,3.8128278289934756
23.0,100,0.01,0.00999999999999976,3.09,0.03151807257666125,0.08505879751257689,2.6987309362172707
23.0,100,0.01,0.00999999999999976,3.15,0.031996126492839116,0.05050331944634571,1.5784197958352424
23.0,100,0.01,0.00999999999999976,3.21,0.03223220028926609,0.02407616904349656,0.7469601462955155
23.0,100,0.01,0.00999999999999976,3.27,0.03233630753076195,0.006226741670091067,0.19256192637849842
23.0,100,0.01,0.00999999999999976,3.33,0.03237807978456083,-0.005515570142925553,-0.1703488959081384
23.0,100,0.01,0.00999999999999976,3.3899999999999997,0.03239478748451699,-0.013812291824268777,-0.4263738982967654
23.0,100,0.01,0.00999999999999976,3.4499999999999997,0.03240277332779191,-0.021449667290823052,-0.6619701058867588
23.0,100,0.01,0.00999999999999976,3.51,0.032409083619238076,-0.029191720946145906,-0.9007265151063284
