severity,z_cm,r0_cm,rbase_cm,s_fraction
40,0.333333333333,0.18,0.18,0
40,0.366666666667,0.18,0.18,0
40,0.4,0.18,0.18,0
40,0.433333333333,0.18,0.18,0
40,0.466666666667,0.18,0.18,0
40,0.5,0.18,0.18,0
40,0.533333333333,0.18,0.18,0
40,0.566666666667,0.18,0.18,0
40,0.6,0.18,0.18,0
40,0.633333333333,0.18,0.18,0
40,0.666666666667,0.18,0.18,0
40,0.7,0.18,0.18,0
40,0.733333333333,0.18,0.18,0
40,0.766666666667,0.18,0.18,0
40,0.8,0.18,0.18,0
40,0.833333333333,0.18,0.18,0
40,0.866666666667,0.18,0.18,0
40,0.9,0.18,0.18,0
40,0.933333333333,0.18,0.18,0
40,0.966666666667,0.18,0.18,0
40,1,0.18,0.18,0
40,1.03333333333,0.18,0.18,0
40,1.06666666667,0.18,0.18,0
40,1.1,0.18,0.18,0
40,1.13333333333,0.18,0.18,0
40,1.16666666667,0.18,0.18,0
40,1.2,0.18,0.18,0
40,1.23333333333,0.18,0.18,0
40,1.26666666667,0.18,0.18,0
40,1.3,0.18,0.18,0
40,1.33333333333,0.18,0.18,0
40,1.36666666667,0.18,0.18,0
40,1.4,0.18,0.18,0
40,1.43333333333,0.18,0.18,0
40,1.46666666667,0.18,0.18,0
40,1.5,0.18,0.18,0
40,1.53333333333,0.18,0.18,0
40,1.56666666667,0.18,0.18,0
40,1.6,0.18,0.18,0
40,1.63333333333,0.18,0.18,0
40,1.66666666667,0.18,0.18,0
40,1.7,0.18,0.18,0
40,1.73333333333,0.18,0.18,0
40,1.76666666667,0.18,0.18,7.77156117238e-16
40,1.8,0.18,0.18,8.31557045444e-13
40,1.83333333333,0.17999999995,0.18,2.75043765541e-10
40,1.86666666667,0.179999994176,0.18,3.23560792603e-08
40,1.9,0.179999719801,0.18,1.55666098778e-06
40,1.93333333333,0.179993732009,0.18,3.48221740765e-05
40,1.96666666667,0.179926719361,0.18,0.000407114661505
40,2,0.17950242563,0.18,0.00276430205407
40,2.03333333333,0.177844039576,0.18,0.0119775579133
40,2.06666666667,0.173521629131,0.18,0.035990949272
40,2.1,0.165483452636,0.18,0.0806474853574
40,2.13333333333,0.154177757007,0.18,0.143456905519
40,2.16666666667,0.141548125741,0.18,0.213621523661
40,2.2,0.129893456553,0.18,0.278369685819
40,2.23333333333,0.12074685771,0.18,0.329184123835
40,2.26666666667,0.114533000004,0.18,0.363705555534
40,2.3,0.110864974754,0.18,0.384083473588
40,2.33333333333,0.109013731685,0.18,0.394368157304
40,2.36666666667,0.108254551334,0.18,0.398585825923
40,2.4,0.108032312111,0.18,0.399820488274
40,2.43333333333,0.108000447364,0.18,0.399997514644
40,2.46666666667,0.108000244237,0.18,0.399998643126
40,2.5,0.108022496485,0.18,0.399875019529
40,2.53333333333,0.108169056982,0.18,0.399060794542
40,2.56666666667,0.108617353741,0.18,0.396570256995
40,2.6,0.109585198118,0.18,0.391193343789
40,2.63333333333,0.111293038522,0.18,0.381705341542
40,2.66666666667,0.113923679794,0.18,0.367090667811
40,2.7,0.117583451741,0.18,0.346758601438
40,2.73333333333,0.122272029059,0.18,0.320710949674
40,2.76666666667,0.127868899273,0.18,0.289617226259
40,2.8,0.134141923329,0.18,0.254767092619
40,2.83333333333,0.140778014007,0.18,0.217899922182
40,2.86666666667,0.147429614038,0.18,0.180946588676
40,2.9,0.153765996525,0.18,0.145744463748
40,2.93333333333,0.159517400678,0.18,0.113792218453
40,2.96666666667,0.164502960856,0.18,0.0860946619098
40,3,0.168638851524,0.18,0.0631174915342
40,3.03333333333,0.171928741765,0.18,0.0448403235294
40,3.06666666667,0.174442537517,0.18,0.0308747915746
40,3.1,0.176290624006,0.18,0.0206076444097
40,3.13333333333,0.177599746242,0.18,0.0133347431025
40,3.16666666667,0.178494332816,0.18,0.00836481769007
40,3.2,0.179084595195,0.18,0.00508558224966
40,3.23333333333,0.179460867912,0.18,0.00299517826404
40,3.26666666667,0.179692654622,0.18,0.00170747432414
40,3.3,0.179830602963,0.18,0.000941094650632
40,3.33333333333,0.179909872118,0.18,0.000500710453308
40,3.36666666667,0.179953801729,0.18,0.000256657063562
40,3.4,0.179977241583,0.18,0.000126435647406
40,3.43333333333,0.179989256931,0.18,5.96837158263e-05
40,3.46666666667,0.179995157437,0.18,2.69031300617e-05
40,3.5,0.179997923984,0.18,1.15334244142e-05
40,3.53333333333,0.179999157468,0.18,4.68073402682e-06
40,3.56666666667,0.179999677994,0.18,1.78892263825e-06
40,3.6,0.179999884787,0.18,6.40070747515e-07
40,3.63333333333,0.179999961662,0.18,2.12990194592e-07
40,3.66666666667,0.179999988222,0.18,6.54342757755e-08
40,3.7,0.179999996686,0.18,1.84097529443e-08
40,3.73333333333,0.179999999154,0.18,4.70126471086e-09
40,3.76666666667,0.179999999806,0.18,1.07908448843e-09
40,3.8,0.17999999996,0.18,2.20252038829e-10
40,3.83333333333,0.179999999993,0.18,3.95123933572e-11
40,3.86666666667,0.179999999999,0.18,6.15141271254e-12
40,3.9,0.18,0.18,8.19677659081e-13
40,3.93333333333,0.18,0.18,9.20374887414e-14
40,3.96666666667,0.18,0.18,8.65973959208e-15
40,4,0.18,0.18,6.66133814775e-16
40,4.03333333333,0.18,0.18,0
40,4.06666666667,0.18,0.18,0
40,4.1,0.18,0.18,0
40,4.13333333333,0.18,0.18,0
40,4.16666666667,0.18,0.18,0
40,4.2,0.18,0.18,0
40,4.23333333333,0.18,0.18,0
40,4.26666666667,0.18,0.18,0
40,4.3,0.18,0.18,0
40,4.33333333333,0.18,0.18,0
40,4.36666666667,0.18,0.18,0
40,4.4,0.18,0.18,0
40,4.43333333333,0.18,0.18,0
40,4.46666666667,0.18,0.18,0
40,4.5,0.18,0.18,0
40,4.53333333333,0.18,0.18,0
