severity,mesh_kind,line_group,z1_cm,x1_cm,y1_cm,z2_cm,x2_cm,y2_cm,source_index
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.176541350473,0.0351162579629,0.1875,-0.18,2.20436423847e-17,80
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.18,2.20436423847e-17,0.1875,-0.176541350473,-0.0351162579629,81
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.176541350473,-0.0351162579629,0.1875,-0.166298315852,-0.0688830178257,82
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.166298315852,-0.0688830178257,0.1875,-0.149664530214,-0.100002641944,83
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.149664530214,-0.100002641944,0.1875,-0.127279220614,-0.127279220614,84
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.127279220614,-0.127279220614,0.1875,-0.100002641944,-0.149664530214,85
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.100002641944,-0.149664530214,0.1875,-0.0688830178257,-0.166298315852,86
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.0688830178257,-0.166298315852,0.1875,-0.0351162579629,-0.176541350473,87
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.0351162579629,-0.176541350473,0.1875,-3.3065463577e-17,-0.18,88
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-3.3065463577e-17,-0.18,0.1875,0.0351162579629,-0.176541350473,89
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.0351162579629,-0.176541350473,0.1875,0.0688830178257,-0.166298315852,90
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.0688830178257,-0.166298315852,0.1875,0.100002641944,-0.149664530214,91
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.100002641944,-0.149664530214,0.1875,0.127279220614,-0.127279220614,92
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.127279220614,-0.127279220614,0.1875,0.149664530214,-0.100002641944,93
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.149664530214,-0.100002641944,0.1875,0.166298315852,-0.0688830178257,94
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.166298315852,-0.0688830178257,0.1875,0.176541350473,-0.0351162579629,95
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.176541350473,-0.0351162579629,0.1875,0.18,0,96
