case_label,severity,model,nx,dt_s,initial_condition,backend,run_status,half_width_cm,z_cm,mean_u3d_cm_s,mean_u1d_cm_s,abs_velocity_discrepancy_cm_s,relative_discrepancy,node_count,observed_radius_cm,xdmf_time_s,time_offset_s,target_time_s,time_atol_s,one_d_completed_time_s,one_d_terminal_time_error_s,xdmf_target_time_error_s,cross_model_time_offset_s
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.5075376884422111,28.00189714137895,22.472372511936207,5.529524629442744,0.19746964291471727,38,0.15287331575804097,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.5376884422110553,26.525099801072482,22.47252273727504,4.052577063797443,0.1527827263305372,39,0.1801125261446626,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.5678391959798994,13.046874208701858,22.472672758040996,9.425798549339138,0.722456459575001,72,0.1801121305742975,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.5979899497487438,12.16077501302903,22.47282254364088,10.312047530611851,0.8479761791138759,65,0.18011148696349577,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.6281407035175879,14.797421155153604,22.472972068609806,7.6755509134562026,0.5187086880191272,74,0.18011099306157033,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.6582914572864322,24.03527889558937,22.47312131515426,1.5621575804351124,0.06499436046576428,43,0.18011041354044802,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.6884422110552764,28.09970758443467,22.47327026417951,5.62643732025516,0.20023116978526226,39,0.18010980221981646,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.7185929648241205,13.915943803454292,22.47341889734887,8.55747509389458,0.614940331375181,75,0.18010911968065488,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.7487437185929648,12.280925928864146,22.47356719992584,10.192641271061692,0.8299570675779169,70,0.18010863591888218,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.778894472361809,11.279887218409883,22.473715153533334,11.193827935123451,0.9923705546323217,67,0.18010818050321944,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.8090452261306533,25.018418869244535,22.473862705804414,2.54455616344012,0.1017073131894908,28,0.15313819297465425,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.8391959798994975,25.038015647207263,22.474009212818615,2.5640064343886486,0.1024045383834017,48,0.18010670303610077,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.8693467336683418,12.839104450187648,22.47412524002557,9.635020789837924,0.7504433683220877,72,0.1801062670362098,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.899497487437186,13.224394294368867,22.473617293065512,9.249222998696645,0.6994061726241099,69,0.18010567392908605,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.92964824120603,13.210812290655896,22.46667809683489,9.255865806178994,0.7006280615103232,71,0.18003500502024197,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
