z u1d77 u3d77 err77 u1d60 u3d60 err60
2.623115578 40.26472433 23.85341982 16.41130452 65.84341453 32.48174004 33.3616745
2.653266332 41.13644344 23.20942022 17.92702322 66.69996339 32.54759627 34.15236712
2.683417085 41.9124855 21.28081091 20.63167459 67.08550678 32.85362274 34.23188404
2.713567839 42.45470752 16.19303604 26.26167148 66.79255108 19.31290626 47.47964482
2.743718593 42.6389204 21.9059927 20.7329277 65.69025115 30.3949739 35.29527725
2.773869347 42.37662063 22.93707151 19.43954912 63.741016 24.57217923 39.16883676
2.804020101 41.63073949 21.02645943 20.60428006 60.9988515 28.81365532 32.18519618
2.834170854 40.42154583 18.16043124 22.26111458 57.59466274 21.67923341 35.91542933
2.864321608 38.82161359 15.6208151 23.20079849 53.71406495 17.86526209 35.84880287
2.894472362 36.94174575 19.86820155 17.0735442 49.57165085 22.71164062 26.86001023
2.924623116 34.91182426 17.02467067 17.88715359 45.38482175 19.09102513 26.29379661
2.954773869 32.86118247 19.19518097 13.6660015 41.35035642 20.95977395 20.39058247
2.984924623 30.90237054 16.52546917 14.37690137 37.62670525 18.34016968 19.28653557
3.015075377 29.12063235 13.06082092 16.05981143 34.32393898 12.98726975 21.33666924
3.045226131 27.56968021 16.61768557 10.95199464 31.50165859 16.43302784 15.06863075
3.075376884 26.27294374 15.96935388 10.30358986 29.1736442 15.17421124 13.99943296
3.105527638 25.22863963 16.93590864 8.292730991 27.31705713 15.77190377 11.54515337
3.135678392 24.4167749 11.63111331 12.7856616 25.88373648 12.49935838 13.3843781
