severity,nx,dx,elapsed_time_s,requested_time_s,terminal_time_error_s,max_abs_q,max_abs_q_z,max_abs_area_drift,solver_volume_defect,physical_volume_defect,requested_q_in,applied_q_in,inlet_area_flux,outlet_area_flux,boundary_flux_integral,conservation_residual,inlet_cell_q,outlet_cell_q,mean_q,rms_q,lh_area_interior_max_abs,lh_area_boundary_max_abs,lh_flow_interior_max_abs,lh_flow_boundary_max_abs,realized_cfl_max,lambda_minus_min,lambda_plus_max,subcritical_margin_min,positivity_projection_count,positivity_correction_total,status,error_message
23.0,400,0.015,0.001,0.001,0.0,0.043865361428228576,2.0775,1.5213120256141882e-5,5.970224314921779e-14,1.8756012848041418e-13,0.0,0.0,1.29283504787182e-10,0.0,-5.970224314921779e-14,0.0,3.7381178478143073e-11,0.0,8.439959318943361e-5,0.008522023016207147,0.6899804023232314,7.372861036538614e-9,630.2819866431091,7.5813053020586576e-6,0.45000000000000007,-1028.499520954305,1028.8833042048227,901.454335923595,0,0.0,ok,
23.0,400,0.015,0.01,0.01,0.0,0.0382971778783155,2.0775,1.1535089262902642e-5,1.0248088498088226e-6,3.2195319538932026e-6,0.0,0.0,1.0847328681172583e-8,-0.0025106702729388625,-1.0248088498088226e-6,0.0,-0.0006536089057407585,-0.0025320765545167583,-0.0014680419595663513,0.007036304046187737,0.6899804023232314,7.372861036538614e-9,630.2819866431091,7.5813053020586576e-6,0.45000000000000007,-1029.1242632077274,1029.423236819969,901.454335923595,0,0.0,ok,
23.0,400,0.015,0.1,0.1,0.0,0.03991627118072915,2.0775,1.1437146346889027e-5,4.6462518027423627e-7,1.4596630530223738e-6,0.0,0.0,2.0223744929420435e-10,0.0018248891373244377,-4.6462518027423627e-7,0.0,-5.4127113137318726e-5,0.001823700708439387,-0.0005466553230141838,0.006386763745125223,0.6899804023232314,7.372861036538614e-9,630.2819866431091,7.5813053020586576e-6,0.45000000000000007,-1029.1462763125567,1029.423236819969,901.454335923595,0,0.0,ok,
23.0,400,0.015,1.0,1.0,0.0,0.03838981773726379,2.0775,1.2315766904240355e-5,4.7439109060465334e-7,1.490343565172029e-6,0.0,0.0,-3.3376515297656837e-11,-8.001113038664793e-6,-4.7439109060465334e-7,0.0,5.430973901762093e-8,-7.988393933166454e-6,-0.0006302180697723079,0.005918553143819832,0.6899804023232314,7.372861036538614e-9,630.2819866431091,7.5813053020586576e-6,0.45000000000000007,-1029.1462763125567,1029.423236819969,901.454335923595,0,0.0,ok,
23.0,800,0.0075,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,0.0,0.0,1.105929155480792e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18915121576458782,1.4745722073077227e-8,175.65898553613806,1.5162610604117315e-5,NaN,NaN,NaN,NaN,0,0.0,ok,
23.0,800,0.0075,0.001,0.001,0.0,0.011161517268974982,2.07375,4.961772893049415e-6,5.975775430044905e-14,1.877345219053146e-13,0.0,0.0,1.4676262241274575e-10,0.0,-5.975775430044905e-14,0.0,7.233941372893943e-11,0.0,1.824997763787083e-5,0.0021766409394622195,0.18915121576458782,1.4745722073077227e-8,175.65898553613806,1.5162610604117315e-5,0.45000000000000007,-1028.3503925610692,1028.4541452060853,902.0481130219217,0,0.0,ok,
23.0,800,0.0075,0.01,0.01,0.0,0.009717415941504855,2.07375,3.0938346696068875e-6,3.8996858317541516e-7,1.2251224360347044e-6,0.0,0.0,2.4000817219744066e-10,-0.0006460232708216729,-3.8996858317541516e-7,0.0,-8.751991699599558e-5,-0.0006484687143610638,-0.00039263270890512104,0.001827294119136142,0.18915121576458782,1.4745722073077227e-8,175.65898553613806,1.5162610604117315e-5,0.45000000000000007,-1028.5506082256059,1028.6512406673921,902.0481130219217,0,0.0,ok,
23.0,800,0.0075,0.1,0.1,0.0,0.010206417906540697,2.07375,2.6252959735226233e-6,2.012834784959061e-7,6.323506973317378e-7,0.0,0.0,1.4531532843994703e-10,0.0005683552111311752,-2.012834784959061e-7,0.0,-1.8026144660123917e-5,0.0005674880394244417,-0.00015864205667030735,0.0016508971456531314,0.18915121576458782,1.4745722073077227e-8,175.65898553613806,1.5162610604117315e-5,0.45000000000000007,-1028.5700169031832,1028.6512406673921,902.0481130219217,0,0.0,ok,
23.0,800,0.0075,1.0,1.0,0.0,0.00973004171541549,2.07375,3.0707480045098767e-6,1.841251494605345e-7,5.784462168863378e-7,0.0,0.0,-9.0859887471308e-11,-3.876449617834268e-6,-1.841251494605345e-7,0.0,1.8796183731802576e-8,-3.866187546624072e-6,-0.00015824749739850802,0.0014888488056639907,0.18915121576458782,1.4745722073077227e-8,175.65898553613806,1.5162610604117315e-5,0.45000000000000007,-1028.5700169031832,1028.6512406673921,902.0481130219217,0,0.0,ok,
23.0,1600,0.00375,0.0,0.0,0.0,0.0,0.001875,0.0,0.0,0.0,0.0,0.0,1.105929155480792e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047494192824546935,2.9491444146154455e-8,50.83056053535256,3.032522120823463e-5,NaN,NaN,NaN,NaN,0,0.0,ok,
